Year,Armed forces personnel (% of total labor force),"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",Employment in industry (% of total employment) (modeled ILO estimate),"Employment in industry, female (% of female employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)",Employment in services (% of total employment) (modeled ILO estimate),"Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)","Labor force, female (% of total labor force)","Labor force, total","Part time employment, female (% of total female employment)","Part time employment, male (% of total male employment)","Part time employment, total (% of total employment)",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)",Country Code
2001-01-01,0.9651463420889097,1.03141363327317,3.90026748435791,2.58367611063594,2.1072997716391,1.17459562517878,2.89839626981877,22.4208042568487,11.1460398781583,31.9837942007737,75.4719059369522,87.679364496663,65.1178187383543,45.853460051674425,147200475.0,36.54,20.65,28.05,80.46319022611033,4.28269982148199,10.1928849237097,7.48054637685204,4.653,4.797,4.731,3.251286188208815,6.2926174393518215,4.896870978033204,USA
2002-01-01,0.9901020169532192,1.02461379740099,3.84122215040455,2.54592301012746,1.95592576519708,1.09512387815128,2.68884575154315,22.2797145677967,10.8611862028325,32.001873356512,75.7643589524912,88.0436914727184,65.3092822148246,45.90357000281103,148166550.0,36.28,20.35,27.77,80.6514334569825,4.21159889368322,10.0424935436853,7.36098732037957,5.611,5.929,5.783,3.1869866499844663,6.201270070401014,4.815063595737023,USA
2003-01-01,0.9940478163059816,1.05661835166446,3.926601638923,2.60033428974849,1.81033470626561,1.02105403768499,2.48843620061922,22.1877120175754,10.6188501359451,32.1269900092157,76.0019539881501,88.3600958263699,65.3845737901651,46.05283828928186,148886198.0,36.52,20.69,28.09,81.14900008344227,4.37326357464704,10.3099900870087,7.56652856485517,5.662,6.268,5.989,3.316645222982571,6.383388448085732,4.966194275106681,USA
2004-01-01,0.9812606985644876,1.05492514637249,3.89449883835735,2.5871444908257,1.75268291033102,0.956316231278145,2.43217655061523,22.1366615939239,10.3307158399059,32.2099938726631,76.1106561981627,88.7129679288159,65.3578308784716,45.977596892282754,150113013.0,36.8,20.74,28.2,80.95277917154485,4.37754749397475,10.3016303143,7.57415208327155,5.397,5.641,5.529,3.322622347602261,6.407131475942631,4.987007592445851,USA
2005-01-01,1.0168063087240995,1.046860226156,3.85018493420279,2.56075921445798,1.6927826532839,0.946110853322344,2.3287409608871,22.0102484672671,10.1135391511985,32.1429633432461,76.2969681896463,88.9403499954792,65.5282956958668,46.00409063940346,152044690.0,36.12,20.34,27.66,81.10236220472441,4.31244175944863,10.1588295264493,7.46970874786823,5.098,5.072,5.084,3.265581533292626,6.308643314922197,4.908948843607593,USA
2006-01-01,0.9717555046024688,1.04429637198129,3.8204877502833,2.54361430494784,1.66751083009069,0.925819617596181,2.29916062576894,22.1018171712765,9.92264106395732,32.4740427094244,76.2306719986328,89.1515304866776,65.226795411231,45.99611951689713,154154002.0,35.78,20.21,27.43,81.1237268325263,4.28426774703934,10.0580037026617,7.40244826086724,4.627,4.619,4.623,3.239971375058051,6.2375146988025945,4.85883327890965,USA
2007-01-01,0.9999764314236581,1.01417007747299,3.69814472524497,2.46044073308876,1.57514749735448,0.840560227039885,2.20380007446605,21.886129747358,9.9326196282547,32.1158285658305,76.538713363361,89.2268201447054,65.6803713597034,46.05441357282479,155503665.0,35.43,19.89,27.1,81.3380084935181,4.2035882159682,9.80076476419629,7.219649564656,4.501,4.725,4.622,3.189418138495209,6.1026200389513185,4.759208831567246,USA
2008-01-01,0.9793561018533908,0.987307695859056,3.58525966923736,2.38000127691412,1.6133499393496,0.857693574215392,2.26730646251235,21.2220136883746,9.48935616126163,31.3756368852803,77.1646363722758,89.652950264523,66.3570553997228,46.21370692300596,157246174.0,35.41,21.12,27.79,81.87244297483606,4.07759298433484,9.56215368331543,7.01772073863969,5.419,6.097,5.784,3.090285288475783,5.976892761593496,4.637719461725573,USA
2009-01-01,0.9937856088622927,1.01099471418386,3.61638453831838,2.3904324774888,1.62657070517662,0.848171642998479,2.3183599239807,19.760485558092,8.55179260647732,29.7220298508248,78.6129339895663,90.6000357505242,67.9596115401799,46.44712285177346,157377606.0,39.14,25.29,31.85,82.65113305391773,4.15307551427593,9.70622359936837,7.09321985144777,8.063,10.287,9.254,3.142080800092071,6.089840376035303,4.702787373958963,USA
2010-01-01,0.9973575078549155,0.996281304426875,3.52803105448289,2.33855003179018,1.73921587365385,0.944462976259802,2.44350383923026,19.3707404278191,8.32227524536636,29.161582010769,78.890043698527,90.7332617783738,68.3949154684788,46.45967276199251,157357516.0,37.19,23.32,29.87,82.70376591865156,4.1515470362767,9.60935288253057,7.04513559386818,8.616,10.515,9.633,3.155265731849823,6.081321828047682,4.706584863054778,USA
2011-01-01,0.9654895015894341,0.955823798595729,3.34549114852697,2.23149838413055,1.75761512960444,0.972542909660288,2.44318556093267,19.4449934349203,8.57843225364582,28.9343026307429,78.7973914354753,90.4490248366939,68.6225118083244,46.367951840893326,157443452.0,37.02,22.97,29.56,82.5049529290972,4.03122454991867,9.25590217113306,6.8203108464643,8.461,9.371,8.949,3.075400751322945,5.910411022606092,4.588812462333753,USA
2012-01-01,0.9417313062990855,0.946600985071094,3.27284979051749,2.19570590905494,1.6927929576858,0.974237135743996,2.31242893229174,19.4661108683163,8.60168710325448,28.8348656552993,78.8410961739979,90.4240831090762,68.8527041451107,46.21179462608559,158452840.0,36.21,22.23,28.79,82.17566805075305,3.99187079592784,9.1344212016165,6.75321838655975,7.89,8.222,8.069,3.045269810856749,5.861571411099011,4.557512477504806,USA
2013-01-01,0.9024313615989414,0.921470877022176,3.15185285249143,2.12065823170289,1.62408303489325,0.871063870305445,2.27161134011567,19.6851456126314,8.66838435071066,29.1585800770965,78.6907713524753,90.4605415937061,68.5698073315829,46.084722370705165,158809862.0,35.29,21.48,27.97,81.93156379916853,3.91313016700088,8.90065041011934,6.59472069487761,7.072,7.634,7.375,2.991660745018489,5.748797557627908,4.474063135897692,USA
2014-01-01,0.8657695854207572,0.90541974783937,3.07683014629776,2.07446065536059,1.66163858216438,0.888109436470189,2.32488357732978,19.7080638780994,8.71442782203136,29.1343273768132,78.6302982001894,90.3974641722231,68.540789045857,46.10899079133935,159540139.0,35.93,21.62,28.33,82.17846387743765,3.82338111295322,8.69422514986741,6.44574000534214,6.059,6.261,6.168,2.917961365113849,5.617396230314286,4.371278689528475,USA
2015-01-01,0.8386832303523326,0.907737694739802,3.06835476827923,2.07370512570444,1.78139127150842,0.969571004121826,2.47392967029296,19.555260727197,8.66188379614654,28.8480427070329,78.6633577416521,90.3685466102917,68.6780384523961,45.98584686411124,160644681.0,36.28,22.14,28.76,81.92217671152721,3.83188505493031,8.67304463431004,6.44439747716441,5.177,5.367,5.28,2.9241487707505422,5.604691069333145,4.370692351459974,USA
2016-01-01,0.8300468131259358,0.905171300477166,3.03774981568733,2.05708759379662,1.78133381250043,0.97928328009804,2.46414355709024,19.4748580132673,8.53332298879327,28.7897159672764,78.7438075353201,90.4873992887054,68.7461416584707,45.944943383931324,162448669.0,34.72,20.99,27.42,81.93335571351422,3.79523819295917,8.59285779874044,6.38668351673967,4.787,4.938,4.869,2.8900682818811267,5.55510916589044,4.329595284030897,USA
2017-01-01,0.8288024298267345,0.902046798882831,3.00195441644391,2.03426736951872,1.76833535602151,0.961462999642057,2.4579534332949,19.4270487784832,8.53698521571933,28.7345704151697,78.8046158654953,90.5015517846386,68.8074644922886,46.0583671944459,163971527.0,34.8,21.15,27.56,82.44321669736033,3.78367601480691,8.52490410734791,6.34003416527853,4.308,4.395,4.355,2.8816278517598133,5.522949690904008,4.305765538481583,USA
2018-01-01,0.8346893456000445,0.898010741365889,2.96908202196686,2.01473597375447,1.70871948871607,0.97569115371929,2.33515992432198,19.5692897525135,8.58177266899281,28.9591381506234,78.7219913782106,90.4425361772879,68.7057019250546,46.05108398004416,165307010.0,33.31,20.13,26.31,82.53882452628964,3.75788912568779,8.43725909833494,6.28101494355435,3.837,3.946,3.896,2.8598783843218962,5.46817822517712,4.266278350359708,USA
2019-01-01,0.8306377949975271,0.879545868484112,2.89146701373775,1.96241408635416,1.67971299899229,0.962407456679892,2.29512882627648,19.6179654110696,8.71137614256587,28.9753450963745,78.7023222000531,90.3262164007542,68.7295158752449,46.14878347080578,167100511.0,32.57,19.67,25.74,82.97233040155196,3.64614694216382,8.19390683129328,6.09386806868811,3.609,3.721,3.669,2.7665997524391583,5.302439817555523,4.131454592448931,USA
2020-01-01,0.8421402997529276,0.911940582160859,2.90769742924701,1.98965398226014,1.74639347557255,1.04441904996707,2.34436583393443,19.4184030161297,8.70710768097085,28.5427692405302,78.8352035082978,90.2484718605705,69.1128745240673,46.14893285611164,165649358.0,35.24,23.19,28.83,82.99064306573693,3.75460205273288,8.48057580052409,6.30663747827799,8.35,7.802,8.055,2.8426614705720263,5.572878371277083,4.3169841439211405,USA
2021-01-01,,0.966345301925308,3.00257753240247,2.06148067728837,1.66240252615758,1.00559350170592,2.22682667139847,19.1836645852224,8.56404634466621,28.309556705841,79.1539322622544,90.4303601536279,69.4636154581321,46.149184492469935,166198588.0,32.32,20.57,26.1,82.91395074802737,4.00146367494219,8.80219547370878,6.58341436886065,5.213,5.466,5.349,3.035117017762304,5.799617941306312,4.521933691572278,USA
